name,count,university press,url
Tohoku University,7,Yes,https://www.tup.tohoku.ac.jp/
Universidad de Zaragoza,7,Yes,https://puz.unizar.es/
Paul Scherrer Institute,7,No,
Technical University of Darmstadt,7,No,
Loyola Marymount University,7,No,
Beijing University of Technology,7,Yes,http://www.bjutpress.cn/
Tyndall Centre,7,No,
Institute for Sustainability,7,No,
Imperial College London,7,Yes,https://europe.worldscientific.com/
Monash University,7,Yes,https://publishing.monash.edu/
Flemish Institute for Technological Research,7,No,
Nanjing University,7,Yes,https://www.njupco.com/
Stanford University,7,Yes,https://www.sup.org
University of East Anglia,6,Yes,https://www.boilerhouse.press/
Australian National University,6,Yes,https://press.anu.edu.au
UniversitéLibre de Bruxelles,6,Yes,https://www.editions-ulb.be/
Université de Sherbrooke,6,No,
Reichman University,6,No,
Nanchang University,6,No,
Hong Kong Polytechnic University,6,Yes,https://www.polyu.edu.hk/cpa/press/
University of Graz,6,Yes,https://library-publishing.uni-graz.at/index.php/lp
Université du Québec à Montréal,6,Yes,https://www.puq.ca/
National Taiwan University,6,Yes,https://press.ntu.edu.tw/
Iowa State University,6,Yes,https://www.lib.iastate.edu/spaces-computers/digital-scholarship/digital-press
Universidade de Santiago de Compostela,6,Yes,https://www.usc.gal/en/services/area/publications
University of Limerick,6,No,
